,event,date,location,event_url
0,UFC Fight Night: Gane vs. Volkov," June 26, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/a1d6b308781aa2f5
1,UFC Fight Night: Jung vs. Ige," June 19, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9ddfb3369a3b0394
2,UFC 263: Adesanya vs. Vettori 2," June 12, 2021"," Glendale, Arizona, US",http://ufcstats.com/event-details/0b64d0fed453ef7f
3,UFC Fight Night: Rozenstruik vs. Sakai," June 05, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3b2485c8d5c8b580
4,UFC Fight Night: Font vs. Garbrandt," May 22, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/277ffed20cf07aea
5,UFC 262: Oliveira vs. Chandler," May 15, 2021"," Houston, Texas, US",http://ufcstats.com/event-details/744f50016c39c26c
6,UFC Fight Night: Rodriguez vs. Waterson," May 08, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/58a36b4ccf5dc30e
7,UFC Fight Night: Reyes vs. Prochazka," May 01, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/d57e6a8971b6d2bd
8,UFC 261: Usman vs. Masvidal 2," April 24, 2021"," Jacksonville, Florida, US",http://ufcstats.com/event-details/27541033b97c076d
9,UFC Fight Night: Whittaker vs. Gastelum," April 17, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4a35913bd9aa4161
10,UFC Fight Night: Vettori vs. Holland," April 10, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9114c8ded5ccd71d
11,UFC 260: Miocic vs. Ngannou," March 27, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6597b611f1c32555
12,UFC Fight Night: Brunson vs. Holland," March 20, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c36e1f4fa755ffb4
13,UFC Fight Night: Edwards vs. Muhammad," March 13, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/8c90c1563972e44d
14,UFC 259: Blachowicz vs. Adesanya," March 06, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6e2b1d631832921d
15,UFC Fight Night: Rozenstruik vs. Gane," February 27, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/81b57acd6975ac06
16,UFC Fight Night: Blaydes vs. Lewis," February 20, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bfe95ec546692b13
17,UFC 258: Usman vs. Burns," February 13, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3f7c14c7eca7195d
18,UFC Fight Night: Overeem vs. Volkov," February 06, 2021"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/a1153013cb5f628f
19,UFC 257: Poirier vs. McGregor," January 23, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/4304992c2acc187b
20,UFC Fight Night: Chiesa vs. Magny," January 20, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/56116537d71a578c
21,UFC Fight Night: Holloway vs. Kattar," January 16, 2021"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/307064d3e0f036c2
22,UFC Fight Night: Thompson vs. Neal," December 19, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e49c2db95e572dc8
23,UFC 256: Figueiredo vs. Moreno," December 12, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/d0d43cb9b14f231c
24,UFC Fight Night: Hermansson vs. Vettori," December 05, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/398b440e73d55b8b
25,UFC Fight Night: Smith vs. Clark," November 28, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/992c82450d96f726
26,UFC 255: Figueiredo vs. Perez," November 21, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bbb15f301e4a490a
27,UFC Fight Night: Felder vs. Dos Anjos," November 14, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3bc27ec15facbcf3
28,UFC Fight Night: Santos vs. Teixeira," November 07, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/41dca66f9dadfc86
29,UFC Fight Night: Hall vs. Silva," October 31, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/ad044be25c94dcfd
30,UFC 254: Khabib vs. Gaethje," October 24, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/c3c38c86f5ab9b5c
31,UFC Fight Night: Ortega vs. The Korean Zombie," October 17, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/d4f364dd076bb0e2
32,UFC Fight Night: Moraes vs. Sandhagen," October 10, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/fd4578cac86d75ca
33,UFC Fight Night: Holm vs. Aldana," October 03, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/805ad1801eb26abb
34,UFC 253: Adesanya vs. Costa," September 26, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/e69c5ce12f4e762b
35,UFC Fight Night: Covington vs. Woodley," September 19, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/831b937811804dad
36,UFC Fight Night: Waterson vs. Hill," September 12, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/9c37681096c6f3a9
37,UFC Fight Night: Overeem vs. Sakai," September 05, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/542db012217ecb83
38,UFC Fight Night: Smith vs. Rakic," August 29, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/e29cf523ebd155c5
39,UFC Fight Night: Munhoz vs. Edgar," August 22, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/af1e5c64b8663aa0
40,UFC 252: Miocic vs. Cormier 3," August 15, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/bda04c573563cc2e
41,UFC Fight Night: Lewis vs. Oleinik," August 08, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/7a82635ffa9b59fe
42,UFC Fight Night: Brunson vs. Shahbazyan," August 01, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/3746e21bb508391a
43,UFC Fight Night: Whittaker vs. Till," July 25, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/dde70a112e053a6c
44,UFC Fight Night: Figueiredo vs. Benavidez 2," July 18, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/ddbd0d6259ce57cc
45,UFC Fight Night: Kattar vs. Ige," July 15, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/18f5669a92e99d92
46,UFC 251: Usman vs. Masvidal," July 11, 2020"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/dbd198f780286aca
47,UFC Fight Night: Poirier vs. Hooker," June 27, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c32eab6c2119e989
48,UFC Fight Night: Blaydes vs. Volkov," June 20, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/2eab7a6c8b0ed8cc
49,UFC Fight Night: Eye vs. Calvillo," June 13, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/1e13936d708bcff7
50,UFC 250: Nunes vs. Spencer," June 06, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4c12aa7ca246e7a4
51,UFC Fight Night: Woodley vs. Burns," May 30, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/14b9e0f2679a2205
52,UFC Fight Night: Overeem vs. Harris," May 16, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/dfb965c9824425db
53,UFC Fight Night: Smith vs. Teixeira," May 13, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/5f8e00c27b7e7410
54,UFC 249: Ferguson vs. Gaethje," May 09, 2020"," Jacksonville, Florida, US",http://ufcstats.com/event-details/898337ef520fe4d3
55,UFC Fight Night: Lee vs. Oliveira," March 14, 2020"," Brasilia, Distrito Federal, Brazil",http://ufcstats.com/event-details/53278852bcd91e11
56,UFC 248: Adesanya vs. Romero," March 07, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/0b5b6876c2a4723f
57,UFC Fight Night: Benavidez vs. Figueiredo," February 29, 2020"," Norfolk, Virginia, US",http://ufcstats.com/event-details/fc9a9559a05f2704
58,UFC Fight Night: Felder vs. Hooker," February 22, 2020"," Auckland, New Zealand",http://ufcstats.com/event-details/33b2f68ef95252e0
59,UFC Fight Night: Anderson vs. Blachowicz," February 15, 2020"," Rio Rancho, New Mexico, US",http://ufcstats.com/event-details/5df17b3620145578
60,UFC 247: Jones vs. Reyes," February 08, 2020"," Houston, Texas, US",http://ufcstats.com/event-details/b26d3e3746fb4024
61,UFC Fight Night: Blaydes vs. Dos Santos," January 25, 2020"," Raleigh, North Carolina, US",http://ufcstats.com/event-details/44aa652b181bcf68
62,UFC 246: McGregor vs. Cowboy," January 18, 2020"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/0c1773639c795466
63,UFC Fight Night: Edgar vs. The Korean Zombie," December 21, 2019"," Busan, South Korea",http://ufcstats.com/event-details/74fefd43f073cd2f
64,UFC 245: Usman vs. Covington," December 14, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4565d435005319c0
65,UFC Fight Night: Overeem vs. Rozenstruik," December 07, 2019"," Washington, DC, US",http://ufcstats.com/event-details/b09890ba7ce1d1e2
66,UFC Fight Night: Blachowicz vs. Jacare," November 16, 2019"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/81ca2c245b19b3c5
67,UFC Fight Night: Zabit vs. Kattar," November 09, 2019"," Moscow, Moscow, Russia",http://ufcstats.com/event-details/8d5daf67983b65ba
68,UFC 244: Masvidal vs. Diaz," November 02, 2019"," New York City, New York, US",http://ufcstats.com/event-details/fd87b1bbfcde9d5e
69,UFC Fight Night: Maia vs. Askren," October 26, 2019"," Kallang, Singapore",http://ufcstats.com/event-details/df05aa15b2d66f57
70,UFC Fight Night: Reyes vs. Weidman," October 18, 2019"," Boston, Massachusetts, US",http://ufcstats.com/event-details/3ae10ac4df3df05c
71,UFC Fight Night: Joanna vs. Waterson," October 12, 2019"," Tampa, Florida, US",http://ufcstats.com/event-details/0941df56f6ac954b
72,UFC 243: Whittaker vs. Adesanya," October 05, 2019"," Melbourne, Victoria, Australia",http://ufcstats.com/event-details/3cf68c1d17f66af7
73,UFC Fight Night: Hermansson vs. Cannonier," September 28, 2019"," Copenhagen, Denmark",http://ufcstats.com/event-details/1bf49bf829964144
74,UFC Fight Night: Rodriguez vs. Stephens," September 21, 2019"," Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/94a5aaf573f780ad
75,UFC Fight Night: Cowboy vs. Gaethje," September 14, 2019"," Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/4834ff149dc9542a
76,UFC 242: Khabib vs. Poirier," September 07, 2019"," Abu Dhabi, Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/a79bfbc01b2264d6
77,UFC Fight Night: Andrade vs. Zhang," August 31, 2019"," Shenzhen, Guangdong, China",http://ufcstats.com/event-details/2c104b7e59a72629
78,UFC 241: Cormier vs. Miocic 2," August 17, 2019"," Anaheim, California, US",http://ufcstats.com/event-details/70167689d6a01793
79,UFC Fight Night: Shevchenko vs. Carmouche 2," August 10, 2019"," Montevideo, Uruguay",http://ufcstats.com/event-details/e5d03e4d966126bd
80,UFC Fight Night: Covington vs. Lawler," August 03, 2019"," Newark, New Jersey, US",http://ufcstats.com/event-details/03da33a102d9a45f
81,UFC 240: Holloway vs. Edgar," July 27, 2019"," Edmonton, Alberta, Canada",http://ufcstats.com/event-details/abcf7e55a0a9ed89
82,UFC Fight Night: Dos Anjos vs. Edwards," July 20, 2019"," San Antonio, Texas, US",http://ufcstats.com/event-details/9e0f28d1f639ad73
83,UFC Fight Night: De Randamie vs. Ladd," July 13, 2019"," Sacramento, California, US",http://ufcstats.com/event-details/2f8f3c69522db931
84,UFC 239: Jones vs. Santos," July 06, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/6c9383ffab2725a5
85,UFC Fight Night: Ngannou vs. Dos Santos," June 29, 2019"," Minneapolis, Minnesota, US",http://ufcstats.com/event-details/c0c1bc0766df4c00
86,UFC Fight Night: Moicano vs. The Korean Zombie," June 22, 2019"," Greenville, South Carolina, US",http://ufcstats.com/event-details/b16a7e6a627e9789
87,UFC 238: Cejudo vs. Moraes," June 08, 2019"," Chicago, Illinois, US",http://ufcstats.com/event-details/e31502e3f79d00c5
88,UFC Fight Night: Gustafsson vs. Smith," June 01, 2019"," Stockholm, Sweden",http://ufcstats.com/event-details/cbc071cb20ea59c7
89,UFC Fight Night: Dos Anjos vs. Lee," May 18, 2019"," Rochester, New York, US",http://ufcstats.com/event-details/6b8f28da9a483049
90,UFC 237: Namajunas vs. Andrade," May 11, 2019"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/9de7c97e1c0d7927
91,UFC Fight Night: Iaquinta vs. Cowboy," May 04, 2019"," Ottawa, Ontario, Canada",http://ufcstats.com/event-details/351264d11286d09a
92,UFC Fight Night: Jacare vs. Hermansson," April 27, 2019"," Sunrise, Florida, US",http://ufcstats.com/event-details/c912f676692c353a
93,UFC Fight Night: Overeem vs. Oleinik," April 20, 2019"," Saint Petersburg, Saint Petersburg, Russia",http://ufcstats.com/event-details/7dcf06c1967801c1
94,UFC 236: Holloway vs. Poirier 2," April 13, 2019"," Atlanta, Georgia, US",http://ufcstats.com/event-details/b0550072e5f0afa7
95,UFC Fight Night: Barboza vs. Gaethje," March 30, 2019"," Philadelphia, Pennsylvania, US",http://ufcstats.com/event-details/9649d75defe0dedb
96,UFC Fight Night: Thompson vs. Pettis," March 23, 2019"," Nashville, Tennessee, US",http://ufcstats.com/event-details/487c170da059857d
97,UFC Fight Night: Till vs. Masvidal," March 16, 2019"," London, England, United Kingdom",http://ufcstats.com/event-details/80eacd4da0617c57
98,UFC Fight Night: Lewis vs. Dos Santos," March 09, 2019"," Wichita, Kansas, US",http://ufcstats.com/event-details/e96d8538d3f9d0ed
99,UFC 235: Jones vs. Smith," March 02, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/2d5fbe2103f97053
100,UFC Fight Night: Blachowicz vs. Santos," February 23, 2019"," Prague, Czech Republic",http://ufcstats.com/event-details/6546af7ab545b90c
101,UFC Fight Night: Ngannou vs. Velasquez," February 17, 2019"," Phoenix, Arizona, US",http://ufcstats.com/event-details/a7a79b8efbceaaac
102,UFC 234: Adesanya vs. Silva," February 09, 2019"," Melbourne, Victoria, Australia",http://ufcstats.com/event-details/b5882371e2a3900d
103,UFC Fight Night: Assuncao vs. Moraes 2," February 02, 2019"," Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/84283233ec42be5f
104,UFC Fight Night: Cejudo vs. Dillashaw," January 19, 2019"," Brooklyn, New York, US",http://ufcstats.com/event-details/d4da8995fc91e7ef
105,UFC 232: Jones vs. Gustafsson 2," December 29, 2018"," Los Angeles, California, US",http://ufcstats.com/event-details/c046100aea0dba9a
106,UFC Fight Night: Lee vs. Iaquinta," December 15, 2018"," Milwaukee, Wisconsin, US",http://ufcstats.com/event-details/7a703c565ccaa18f
107,UFC 231: Holloway vs. Ortega," December 08, 2018"," Toronto, Ontario, Canada",http://ufcstats.com/event-details/2a74bbba57058f12
108,UFC Fight Night: Dos Santos vs. Tuivasa," December 01, 2018"," Adelaide, South Australia, Australia",http://ufcstats.com/event-details/d1d20e651e6cbc02
109,The Ultimate Fighter: Heavy Hitters Finale," November 30, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c7ac79839e86ce33
110,UFC Fight Night: Blaydes vs. Ngannou 2," November 24, 2018"," Beijing, China",http://ufcstats.com/event-details/de25520d54eab12d
111,UFC Fight Night: Magny vs. Ponzinibbio," November 17, 2018"," Buenos Aires, Buenos Aires, Argentina",http://ufcstats.com/event-details/aa3153a9941b4d44
112,UFC Fight Night: Korean Zombie vs. Rodriguez," November 10, 2018"," Denver, Colorado, US",http://ufcstats.com/event-details/42c96a9c4802e2e1
113,UFC 230: Cormier vs. Lewis," November 03, 2018"," New York City, New York, US",http://ufcstats.com/event-details/20821819c401ced8
114,UFC Fight Night: Oezdemir vs. Smith," October 27, 2018"," Moncton, New Brunswick, Canada",http://ufcstats.com/event-details/33a331684283900f
115,UFC 229: Khabib vs. McGregor," October 06, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/1ef0eae31904e534
116,UFC Fight Night: Marreta vs. Anders," September 22, 2018"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/852454c572675334
117,UFC Fight Night: Hunt vs. Oleinik," September 15, 2018"," Moscow, Moscow, Russia",http://ufcstats.com/event-details/8d49545dadf9b919
118,UFC 228: Woodley vs. Till," September 08, 2018"," Dallas, Texas, US",http://ufcstats.com/event-details/d5ae8074631762fc
119,UFC Fight Night: Gaethje vs. Vick," August 25, 2018"," Lincoln, Nebraska, US",http://ufcstats.com/event-details/c0342805a1948cbb
120,UFC 227: Dillashaw vs. Garbrandt 2," August 04, 2018"," Los Angeles, California, US",http://ufcstats.com/event-details/03b1e846b09f721d
121,UFC Fight Night: Alvarez vs. Poirier 2," July 28, 2018"," Calgary, Alberta, Canada",http://ufcstats.com/event-details/322a56923b396b4d
122,UFC Fight Night: Shogun vs. Smith," July 22, 2018"," Hamburg, Hamburg, Germany",http://ufcstats.com/event-details/4f732e58ed907eff
123,UFC Fight Night: Dos Santos vs. Ivanov," July 14, 2018"," Boise, Idaho, US",http://ufcstats.com/event-details/b45d6b73f4ca4467
124,UFC 226: Miocic vs. Cormier," July 07, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/35585d970300d45a
125,The Ultimate Fighter: Undefeated Finale," July 06, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/8215e4fe24e8e81b
126,UFC Fight Night: Cowboy vs. Edwards," June 23, 2018"," Kallang, Singapore",http://ufcstats.com/event-details/ac5f67109accb482
127,UFC 225: Whittaker vs. Romero 2," June 09, 2018"," Chicago, Illinois, US",http://ufcstats.com/event-details/2eae41f61776c60f
128,UFC Fight Night: Rivera vs. Moraes," June 01, 2018"," Utica, New York, US",http://ufcstats.com/event-details/d29b5c4f22c6357d
129,UFC Fight Night: Thompson vs. Till," May 27, 2018"," Liverpool, England, United Kingdom",http://ufcstats.com/event-details/f5990c11974d8e9c
130,UFC Fight Night: Maia vs. Usman," May 19, 2018"," Santiago, Chile",http://ufcstats.com/event-details/3144121470023e9a
131,UFC 224: Nunes vs. Pennington," May 12, 2018"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/67ec58d7cf599835
132,UFC Fight Night: Barboza vs. Lee," April 21, 2018"," Atlantic City, New Jersey, US",http://ufcstats.com/event-details/ad99fa5325519169
133,UFC Fight Night: Poirier vs. Gaethje," April 14, 2018"," Glendale, Arizona, US",http://ufcstats.com/event-details/620be7e0712d431b
134,UFC 223: Khabib vs. Iaquinta," April 07, 2018"," Brooklyn, New York, US",http://ufcstats.com/event-details/49e7e05f902479ca
135,UFC Fight Night: Werdum vs. Volkov," March 17, 2018"," London, England, United Kingdom",http://ufcstats.com/event-details/eed2b71d77d95416
136,UFC 222: Cyborg vs. Kunitskaya," March 03, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/7929be8290289a47
137,UFC Fight Night: Emmett vs. Stephens," February 24, 2018"," Orlando, Florida, US",http://ufcstats.com/event-details/daa89f01e1c0f42a
138,UFC Fight Night: Cerrone vs. Medeiros," February 18, 2018"," Austin, Texas, US",http://ufcstats.com/event-details/d181689653115b6a
139,UFC 221: Romero vs. Rockhold," February 10, 2018"," Perth, Western Australia, Australia",http://ufcstats.com/event-details/15515e797aedc137
140,UFC Fight Night: Machida vs. Anders," February 03, 2018"," Belem, Para, Brazil",http://ufcstats.com/event-details/7cf20446453f852b
141,UFC Fight Night: Jacare vs. Brunson 2," January 27, 2018"," Charlotte, North Carolina, US",http://ufcstats.com/event-details/602bb270f2bdbf02
142,UFC 220: Miocic vs. Ngannou," January 20, 2018"," Boston, Massachusetts, US",http://ufcstats.com/event-details/02177caefe7c07d4
143,UFC Fight Night: Stephens vs. Choi," January 14, 2018"," St. Louis, Missouri, US",http://ufcstats.com/event-details/fc1868f56d3036eb
144,UFC 219: Cyborg vs. Holm," December 30, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/04076783ca83d6ae
145,UFC Fight Night: Lawler vs. Dos Anjos," December 16, 2017"," Winnipeg, Manitoba, Canada",http://ufcstats.com/event-details/eaa0a728cc91ef60
146,UFC Fight Night: Swanson vs. Ortega," December 09, 2017"," Fresno, California, US",http://ufcstats.com/event-details/bcd124bcd3d5be46
147,UFC 218: Holloway vs. Aldo 2," December 02, 2017"," Detroit, Michigan, US",http://ufcstats.com/event-details/9e30f69cc0869301
148,The Ultimate Fighter: A New World Champion Finale," December 01, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/30e8b4505f5ccf92
149,UFC Fight Night: Bisping vs. Gastelum," November 25, 2017"," Shanghai, Hebei, China",http://ufcstats.com/event-details/e7bc606d269896aa
150,UFC Fight Night: Werdum vs. Tybura," November 18, 2017"," Sydney, New South Wales, Australia",http://ufcstats.com/event-details/caced97768818230
151,UFC Fight Night: Poirier vs. Pettis," November 11, 2017"," Norfolk, Virginia, US",http://ufcstats.com/event-details/d856a0080ac09ed7
152,UFC 217: Bisping vs. St-Pierre," November 04, 2017"," New York City, New York, US",http://ufcstats.com/event-details/a25b71fe5e31fa97
153,UFC Fight Night: Brunson vs. Machida," October 28, 2017"," Sao Paulo, Sao Paulo, Brazil",http://ufcstats.com/event-details/a7724f51e32e763e
154,UFC Fight Night: Cerrone vs. Till," October 21, 2017"," Gdansk, Poland",http://ufcstats.com/event-details/d6b68eaf4b68b160
155,UFC 216: Ferguson vs. Lee," October 07, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/cc5834a495d1ea08
156,UFC Fight Night: Saint Preux vs. Okami," September 22, 2017"," Saitama, Saitama, Japan",http://ufcstats.com/event-details/9211aae062b799d6
157,UFC Fight Night: Rockhold vs. Branch," September 16, 2017"," Pittsburgh, Pennsylvania, US",http://ufcstats.com/event-details/1979c80150f630c4
158,UFC 215: Nunes vs Shevchenko 2," September 09, 2017"," Edmonton, Alberta, Canada",http://ufcstats.com/event-details/d86e913c548c07c2
159,UFC Fight Night: Volkov vs. Struve," September 02, 2017"," Rotterdam, Zuid-Holland, Netherlands",http://ufcstats.com/event-details/a3244e3238541482
160,UFC Fight Night: Pettis vs. Moreno," August 05, 2017"," Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/f4a031ac205ac580
161,UFC 214: Cormier vs. Jones 2," July 29, 2017"," Anaheim, California, US",http://ufcstats.com/event-details/ff9578cdbfabd323
162,UFC Fight Night: Weidman vs. Gastelum," July 22, 2017"," Uniondale, New York, US",http://ufcstats.com/event-details/9f3d6ddef3d3cccc
163,UFC Fight Night: Nelson vs. Ponzinibbio," July 16, 2017"," Glasgow, Scotland, United Kingdom",http://ufcstats.com/event-details/d7907a9a968e4d29
164,UFC 213: Romero vs. Whittaker," July 08, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/686cccbf1a4de453
165,The Ultimate Fighter: Redemption Finale," July 07, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/23bd78c3f89bdb54
166,UFC Fight Night: Chiesa vs. Lee," June 25, 2017"," Oklahoma City, Oklahoma, US",http://ufcstats.com/event-details/99bf06f20491cb54
167,UFC Fight Night: Holm vs. Correia," June 17, 2017"," Kallang, Singapore",http://ufcstats.com/event-details/353de740bb6c7e75
168,UFC Fight Night: Lewis vs. Hunt," June 10, 2017"," Auckland, New Zealand",http://ufcstats.com/event-details/90e7447d8b7f3f35
169,UFC 212: Aldo vs. Holloway," June 03, 2017"," Rio de Janeiro, Rio de Janeiro, Brazil",http://ufcstats.com/event-details/1507214bbc7a79e2
170,UFC Fight Night: Gustafsson vs. Teixeira," May 28, 2017"," Stockholm, Sweden",http://ufcstats.com/event-details/1c7cce2f5c17160d
171,UFC 211: Miocic vs. Dos Santos," May 13, 2017"," Dallas, Texas, US",http://ufcstats.com/event-details/5df10509264586e5
172,UFC Fight Night: Swanson vs. Lobov," April 22, 2017"," Nashville, Tennessee, US",http://ufcstats.com/event-details/bc7f7f0ba3db74d2
173,UFC on FOX: Johnson vs. Reis," April 15, 2017"," Kansas City, Missouri, US",http://ufcstats.com/event-details/ed069a95aaaf4f56
174,UFC 210: Cormier vs. Johnson 2," April 08, 2017"," Buffalo, New York, US",http://ufcstats.com/event-details/e7bfdb5e0112891e
175,UFC Fight Night: Manuwa vs. Anderson," March 18, 2017"," London, England, United Kingdom",http://ufcstats.com/event-details/c0231720fe516994
176,UFC Fight Night: Belfort vs. Gastelum," March 11, 2017"," Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/47b7e4e60813b7b2
177,UFC 209: Woodley vs. Thompson 2," March 04, 2017"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/20e403a1acfef130
178,UFC Fight Night: Lewis vs. Browne," February 19, 2017"," Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/b4ad3a06ee4d660c
179,UFC 208: Holm vs. De Randamie," February 11, 2017"," Brooklyn, New York, US",http://ufcstats.com/event-details/865aa315ea62c511
180,UFC Fight Night: Bermudez vs. The Korean Zombie," February 04, 2017"," Houston, Texas, US",http://ufcstats.com/event-details/6a8a06b542e1516d
181,UFC on FOX: Shevchenko vs. Pena," January 28, 2017"," Denver, Colorado, US",http://ufcstats.com/event-details/4512e46543b960ad
182,UFC Fight Night: Rodriguez vs. Penn," January 15, 2017"," Phoenix, Arizona, US",http://ufcstats.com/event-details/46effbd1135423c5
183,UFC 207: Nunes vs. Rousey," December 30, 2016"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/4b2390cfaceb91d8
